ID;Contex/Box;Blank Type;Completeness;Blade/Bladelet Type;Max. Length (mm);Max. Width (mm);Max. Thickness (mm);Platform Type;Platform width (mm);Platform depth (mm);Dorsal reduction;Bulb;Distal configuration;Product Type;Axiality;Longitudinal cross-section;Blank cross-section;Dorsal triangular scars smaller than obtained product;Dorsal hinged scars smaller than obtained product;Retouch;Cortex/natural surface (in general);Cortical piece (>50%);Other comments
1210;An2-10-4-2;Bladelet;Proximal;n/a;n/a;12;4;Plain;9;3;Abrasion;Diffuse;;Target central product;Off-axis left;Twisted;Triangular;Yes;No;None;0;0;
120;An2-10-4-2;Bladelet;Proximal;n/a;n/a;7;3;Plain;4;3;Flaking;Diffuse;n/a;Target central product;Off-axis left;Twisted;Triangular;No;No;None;0;0;
159;An2-10-4-2;Bladelet;Proximal;Type 3;n/a;9;3;Cortical/Natural Surface;7;3;Abrasion;Large Scar;n/a;Target central product;Off-axis left;Twisted;Triangular;Yes;No;None;0;0;
162;An2-10-4-2;Bladelet;Proximal;n/a;n/a;9;4;Plain;7;4;Absent;Diffuse;n/a;Target central product;In-axis;Straight;Triangular;No;No;None;0;0;Distally broken bladelet-like overhang removal
174;An2-10-4-2;Bladelet;Proximal;Type 3;n/a;10;2;Shattered;n/a;n/a;Absent;Diffuse;n/a;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;Irregular bladelet (proximally irregular)
178;An2-10-4-2;Bladelet;Proximal;n/a;n/a;12;4;Plain;9;4;Absent;Diffuse;n/a;Target central product;Off-axis left;Straight;Triangular;No;Yes;None;0;0;Atypical bladelet fragment
179;An2-10-4-2;Bladelet;Proximal;n/a;n/a;10;4;Plain;9;4;Absent;Non-visible;n/a;Target central product;In-axis;Straight;Trapezoidal;No;No;None;0;0;Removal of proximal overhang
187;An2-10-4-2;Bladelet;Proximal;n/a;n/a;11;3;Shattered;n/a;n/a;Absent;Large Scar;n/a;Target central product;In-axis;Twisted;Triangular;No;No;None;0;0;
188;An2-10-4-2;Bladelet;Proximal;n/a;n/a;9;5;Plain;8;5;Flaking;Diffuse;n/a;Target central product;Off-axis left;Straight;Triangular;Yes;No;None;0;0;Intercalated broken overhang removal
190;An2-10-4-2;Bladelet;Proximal;n/a;n/a;7;2;Plain;5;2;Flaking;Diffuse;n/a;Target central product;In-axis;Twisted;Triangular;Yes;No;None;0;0;
208;An2-10-4-2;Bladelet;Proximal;n/a;n/a;9;3;Plain;6;3;Absent;Diffuse;n/a;Target central product;Off-axis left;Twisted;Trapezoidal;Yes;No;None;0;0;
213;An2-10-4-2;Bladelet;Proximal;n/a;n/a;10;2;Plain;6;2;Absent;Diffuse;n/a;Target central product;Off-axis right;Twisted;Triangular;No;No;None;0;0;
236;An2-2011-1200;Bladelet;Proximal;n/a;n/a;13;5;Plain;13;5;Absent;Diffuse;n/a;Target central product;In-axis;Twisted;Trapezoidal;No;No;None;0;0;
238;An2-2011-1200;Bladelet;Proximal;n/a;n/a;7;2;Plain;4;2;Absent;Diffuse;n/a;Target central product;Off-axis left;Twisted;Triangular;No;No;None;0;0;
S12;An2-10-2-1;Bladelet;Proximal;Type 2;n/a;8;3;Plain;8;2;Flaking;Diffuse;Acute pointed;Target central product;In-axis;Straight;Triangular;No;No;None;1;0;Broken bladelet, probably also EARLY necause of tint cortex remnant on proxio-dorsal face
1504;An2-10-4-2;Bladelet;Proximal;n/a;n/a;11;4;Partially Faceted;8;3;Abrasion;Diffuse;;Lateral product;Off-axis left;Twisted;Trapezoidal;No;Yes;None;1;0;Early lateral twisted bladelet (small portion of cortex)
